Phrase,IPA,ES Pronunciation,ES Translation,Island
I do the laundry on Sunday.,/aɪ duː ðə ˈlɔːndri ɒn ˈsʌndeɪ/,ai du de landri on sandei,Hago la ropa los domingos.,49 imagine / make
The price will double soon.,/ðə praɪs wɪl ˈdʌbl suːn/,de prais wil dubel sun,El precio se duplicará pronto.,49 imagine / make
I doubt the story is true.,/aɪ daʊt ðə ˈstɔːri ɪz truː/,ai daout de stori is tru,Dudo que la historia sea cierta.,49 imagine / make
We can draw a conclusion.,/wiː kæn drɔː ə kənˈkluːʒən/,ui cen dro a conclushon,Podemos sacar una conclusión.,49 imagine / make
I dream about my holiday.,/aɪ driːm əˈbaʊt maɪ ˈhɒlədeɪ/,ai drim abaut mai joleidei,Sueño con mis vacaciones.,49 imagine / make
I dream at night.,/aɪ driːm æt naɪt/,ai drim at nait,Sueño por la noche.,49 imagine / make
I drink water every day.,/aɪ drɪŋk ˈwɔːtər ˈevri deɪ/,ai drink uoter evri dei,Bebo agua todos los días.,49 imagine / make
I can drive a car.,/aɪ kæn draɪv ə kɑːr/,ai cen draiv a car,Puedo conducir un coche.,49 imagine / make
The dog will drive them away.,/ðə dɒg wɪl draɪv ðem əˈweɪ/,de dog wil draiv dem awei,El perro los ahuyentará.,49 imagine / make
I drop the cup.,/aɪ drɒp ðə kʌp/,ai drop de cap,Se me cae la taza.,49 imagine / make
He cannot swim or drown.,/hiː ˈkænɒt swɪm ɔː draʊn/,ji canot swim or draun,No sabe nadar ni ahogarse.,49 imagine / make
I dry my hair.,/aɪ draɪ maɪ heər/,ai drai mai jer,Seco mi pelo.,49 imagine / make
I eat breakfast at home.,/aɪ iːt ˈbrekfəst æt həʊm/,ai iit brekfost at jom,Desayuno en casa.,49 imagine / make
I do not eavesdrop.,/aɪ duː nɒt ˈiːvzdrɒp/,ai du not iivzdrop,No escucho a escondidas.,49 imagine / make
The lamp emits light.,/ðə læmp ɪˈmɪts laɪt/,de lamp imits lait,La lámpara emite luz.,49 imagine / make
I enter my name.,/aɪ ˈentər maɪ neɪm/,ai enter mein neim,Pongo mi nombre.,49 imagine / make
The show entertains us.,/ðə ʃəʊ ˌentəˈteɪnz ʌs/,de shou enterteins as,El espectáculo nos entretiene.,49 imagine / make
We equip the room.,/wiː ɪˈkwɪp ðə ruːm/,ui ikuip de rum,Equipamos la habitación.,49 imagine / make
I examine the paper.,/aɪ ɪɡˈzæmɪn ðə ˈpeɪpər/,ai igzamin de peiper,Examiné el papel.,49 imagine / make
I exchange the book.,/aɪ ɪksˈtʃeɪndʒ ðə bʊk/,ai ikscheinch de buk,Cambio el libro.,49 imagine / make
I exclude him.,/aɪ ɪksˈkluːd hɪm/,ai iksclud jim,Lo excluyo.,49 imagine / make
Please excuse me.,/pliːz ɪksˈkjuːz miː/,plis ikskius mi,"Por favor, discúlpame.",49 imagine / make
The house exists now.,/ðə haʊs ɪɡˈzɪsts naʊ/,de jaus igzists nau,La casa existe ahora.,49 imagine / make
I expect rain today.,/aɪ ɪksˈpɛkt reɪn təˈdeɪ/,ai ikspect rein tudei,Espero lluvia hoy.,49 imagine / make
We expect a change.,/wiː ɪksˈpɛkt ə tʃeɪndʒ/,ui ikspect a cheinch,Prevemos un cambio.,49 imagine / make
Please explain the word.,/pliːz ɪkˈspleɪn ðə wɜːd/,pliz iksplein de uord,Por favor explica la palabra.,49 imagine / make
I can express my love.,/aɪ kæn ɪkˈsprɛs maɪ lʌv/,ai can ikspres mai lav,Puedo expresar mi amor.,49 imagine / make
He extinguishes the fire.,/hiː ɪkˈstɪŋɡwɪʃɪz ðə ˈfaɪə/,ji ikstingguishes de faier,Él apaga el fuego.,49 imagine / make
I fall in love with you.,/aɪ fɔːl ɪn lʌv wɪð juː/,ai fol in lav wid yu,Me enamoro de ti.,49 imagine / make
She feeds the cat.,/ʃiː fiːdz ðə kæt/,shi fits de kat,Ella alimenta al gato.,49 imagine / make
They fight the enemy.,/ðeɪ faɪt ðiː ˈɛnəmi/,dei fait de enemi,Ellos luchan contra el enemigo.,49 imagine / make
The boys fight now.,/ðə bɔɪz faɪt naʊ/,de bois fait nau,Los niños pelean ahora.,49 imagine / make
Fill the glass with water.,/fɪl ðə ɡlɑːs wɪð ˈwɔːtə/,fil de glas wid uater,Llena el vaso con agua.,49 imagine / make
I find my key.,/aɪ faɪnd maɪ kiː/,ai faind mai ki,Encuentro mi llave.,49 imagine / make
I finish the book.,/aɪ ˈfɪnɪʃ ðə bʊk/,ai finish de buk,Termino el libro.,49 imagine / make
We fish in the river.,/wiː fɪʃ ɪn ðə ˈrɪvə/,ui fish in de river,Pescamos en el río.,49 imagine / make
The dress fits well.,/ðə drɛs fɪts wɛl/,de dres fits uel,El vestido le queda bien.,49 imagine / make
Do not flatter me.,/duː nɒt ˈflætə miː/,du not flater mi,No me halagues.,49 imagine / make
Birds fly in the sky.,/bɜːdz flaɪ ɪn ðə skaɪ/,berds flai in de skai,Los pájaros vuelan en el cielo.,49 imagine / make
Follow me please.,/ˈfɒləʊ miː pliːz/,folou mi pliz,Sígueme por favor.,49 imagine / make
They forbid the dog.,/ðeɪ fəˈbɪd ðə dɒɡ/,dei forbid de dog,Ellos prohíben el perro.,49 imagine / make
Do not force him.,/duː nɒt fɔːs hɪm/,du not forsim jim,No lo fuerces.,49 imagine / make
I forget your name.,/aɪ fəˈɡɛt jɔː neɪm/,ai forget yor neim,Olvido tu nombre.,49 imagine / make
Please forgive me.,/pliːz fəˈɡɪv miː/,pliz forgiv mi,Por favor perdóname.,49 imagine / make
We form a line.,/wiː fɔːrm ə laɪn/,ui form a lain,Formamos una fila.,49 imagine / make
The shirt gets dirty.,/ðə ʃɜːt ɡɛts ˈdɜːti/,de shurt gets derti,La camisa se ensucia.,49 imagine / make
She gets infected easily.,/ʃiː ɡɛts ɪnˈfɛktɪd ˈiːzɪli/,shi gets infektid isili,Ella se infecta fácilmente.,49 imagine / make
He gets irritated fast.,/hiː ɡɛts ˈɪrɪteɪtɪd fɑːst/,ji gets iritaited fast,Él se irrita rápido.,49 imagine / make
We get married soon.,/wiː ɡɛt ˈmærid suːn/,ui get merrid sun,Nos casamos pronto.,49 imagine / make
Get rid of the bug.,/ɡɛt rɪd ɒv ðə bʌɡ/,get rid ov de bag,Deshazte del insecto.,49 imagine / make
I get tired after work.,/aɪ ɡet ˈtaɪərd ˈæftər wɜːrk/,ai get tayerd after work.,Me canso después del trabajo.,49 imagine / make
He gets up at seven.,/hiː ɡʌts ʌp æt ˈsɛvən/,ji gats ap at seven.,Él se levanta a las siete.,49 imagine / make
She gives me a gift.,/ʃiː ɡɪvz miː ə ɡɪft/,shi givs mi a gift.,Ella me da un regalo.,49 imagine / make
I give the baby a bath.,/aɪ ɡɪv ðə ˈbeɪbi ə bæθ/,ai giv de beibi a baz.,Le doy un baño al bebé.,49 imagine / make
She gives him a hug.,/ʃiː ɡɪvz hɪm ə hʌɡ/,shi givs jim a jag.,Ella le da un abrazo.,49 imagine / make
He gives in to her.,/hiː ɡɪvz ɪn tuː hɜːr/,ji givs in tu jer.,Él se rinde ante ella.,49 imagine / make
We go by car.,/wiː ɡəʊ baɪ kɑːr/,ui gou bai car.,Nosotros vamos en coche.,49 imagine / make
We don't go by car.,/wiː dəʊnt ɡəʊ baɪ kɑːr/,ui dount gou bai car.,No vamos en coche.,49 imagine / make
Do we go by car?,/duː wiː ɡəʊ baɪ kɑːr/,du ui gou bai car?,¿Vamos en coche?,49 imagine / make
Where do we go by car?,/weər duː wiː ɡəʊ baɪ kɑːr/,uer du ui gou bai car?,¿A dónde vamos en coche?,49 imagine / make
We went by car.,/wiː went baɪ kɑːr/,ui uent bai car.,Fuimos en coche.,49 imagine / make
They go on foot.,/ðeɪ ɡəʊ ɒn fʊt/,dei gou on fut.,Ellos van a pie.,49 imagine / make
They don't go on foot.,/ðeɪ dəʊnt ɡəʊ ɒn fʊt/,dei dount gou on fut.,Ellos no van a pie.,49 imagine / make
Do they go on foot?,/duː ðeɪ ɡəʊ ɒn fʊt/,du dei gou on fut?,¿Ellos van a pie?,49 imagine / make
How often do they go on foot?,/haʊ ˈɒfən duː ðeɪ ɡəʊ ɒn fʊt/,jau ofen du dei gou on fut?,¿Con qué frecuencia van a pie?,49 imagine / make
They went on foot.,/ðeɪ went ɒn fʊt/,dei uent on fut.,Ellos fueron a pie.,49 imagine / make
We go for a swim.,/wiː ɡəʊ fɔːr ə swɪm/,ui gou for a swim.,Vamos a nadar.,49 imagine / make
I go out with friends.,/aɪ ɡəʊ aʊt wɪð frɛndz/,ai gou aut wid friends.,Salgo con amigos.,49 imagine / make
I go to bed late.,/aɪ ɡəʊ tuː bɛd leɪt/,ai gou tu bed leit.,Me voy a la cama tarde.,49 imagine / make
She greets the teacher.,/ʃiː ɡriːts ðə ˈtiːtʃər/,shi grits de ticher.,Ella saluda al profesor.,49 imagine / make
I grow flowers in spring.,/aɪ ɡroʊ ˈflaʊərz ɪn sprɪŋ/,ai gro flausers in spring.,Cultivo flores en primavera.,49 imagine / make
I guarantee it is good.,/aɪ ˌɡærənˈtiː ɪt ɪz ɡʊd/,ai garanti it is gud.,Garantizo que es bueno.,49 imagine / make
I do not guarantee it is good.,/aɪ duː nɒt ˌɡærənˈtiː ɪt ɪz ɡʊd/,ai du not garanti it is gud.,No garantizo que es bueno.,49 imagine / make
Do you guarantee it is good?,/duː juː ˌɡærənˈtiː ɪt ɪz ɡʊd/,du yu garanti it is gud?,¿Garantizas que es bueno?,49 imagine / make
Why do you guarantee it is good?,/waɪ duː juː ˌɡærənˈtiː ɪt ɪz ɡʊd/,guai du yu garanti it is gud?,¿Por qué garantizas que es bueno?,49 imagine / make
I guaranteed it was good.,/aɪ ˌɡærənˈtiːd ɪt wɒz ɡʊd/,ai garantid it wos gud.,Garanticé que era bueno.,49 imagine / make
You guess right every time.,/juː ɡɛs raɪt ˈɛvri taɪm/,yu gues rait evri time.,Adivinas bien siempre.,49 imagine / make
He hands out the paper.,/hiː hændz aʊt ðə ˈpeɪpər/,ji jands aut de paper.,Él reparte el papel.,49 imagine / make
She hangs the picture.,/ʃiː hæŋz ðə ˈpɪktʃər/,shi jangs de pichter.,Ella cuelga el cuadro.,49 imagine / make
I have a new bike.,/aɪ hæv ə nuː baɪk/,ai jav a nu bike.,Tengo una bicicleta nueva.,49 imagine / make
I don't have a new bike.,/aɪ dəʊnt hæv ə nuː baɪk/,ai dount jav a nu bike.,No tengo una bicicleta nueva.,49 imagine / make
Do you have a new bike?,/duː juː hæv ə nuː baɪk/,du iu jav a nu bike?,¿Tienes una bicicleta nueva?,49 imagine / make
What does your new bike look like?,/wɒt dəz jɔː njuː baɪk lʊk laɪk/,uot daz yor niu baik luk laik?,¿Cómo es tu bicicleta nueva?,49 imagine / make
I had a new bike.,/aɪ hæd ə nuː baɪk/,ai jad a nu bike.,Tenía una bicicleta nueva.,49 imagine / make
I have a try at it.,/aɪ hæv ə traɪ æt ɪt/,ai jav a trai at it.,Lo intento.,49 imagine / make
I don't have a try at it.,/aɪ dəʊnt hæv ə traɪ æt ɪt/,ai dount jav a trai at it.,No lo intento.,49 imagine / make
Do you have a try at it?,/duː juː hæv ə traɪ æt ɪt/,du iu jav a trai at it?,¿Lo intentas?,49 imagine / make
Why do you have a try at it?,/waɪ duː juː hæv ə traɪ æt ɪt/,uái du yu jav a trái at it?,¿Por qué lo intentas?,49 imagine / make
I had a try at it.,/aɪ hæd ə traɪ æt ɪt/,ai jad a trai at it.,Lo intenté.,49 imagine / make
We have breakfast at home.,/wiː hæv ˈbrɛkfəst æt hoʊm/,ui jav brekfost at jom.,Desayunamos en casa.,49 imagine / make
They have dinner early.,/ðeɪ hæv ˈdɪnər ˈɜːrli/,dei jav dinner erli.,Cenan temprano.,49 imagine / make
We have fun at the park.,/wiː hæv fʌn æt ðə pɑːrk/,ui jav fan at de park.,Nos divertimos en el parque.,49 imagine / make
He has lunch at noon.,/hiː hæz lʌntʃ æt nuːn/,ji jas lanch at nun.,Él almuerza al mediodía.,49 imagine / make
He doesn't have lunch at noon.,/hiː dʌznt hæv lʌntʃ æt nuːn/,ji dasnt jav lanch at nun.,Él no almuerza al mediodía.,49 imagine / make
Does he have lunch at noon?,/dʌz hiː hæv lʌntʃ æt nuːn/,das ji jav lanch at nun?,¿Él almuerza al mediodía?,49 imagine / make
When does he have lunch?,/wen dʌz hiː hæv lʌntʃ/,uen das ji jav lanch?,¿Cuándo almuerza?,49 imagine / make
He had lunch at noon.,/hiː hæd lʌntʃ æt nuːn/,ji jad lanch at nun.,Él almorzó al mediodía.,49 imagine / make
She heads the team.,/ʃiː hɛdz ðə tiːm/,shi jeds de tim.,Ella lidera el equipo.,49 imagine / make
I hear the birds sing.,/aɪ hɪər ðə bɜːrdz sɪŋ/,ai jer de berds sing.,Oigo a los pájaros cantar.,49 imagine / make
I heat the food for lunch.,/aɪ hiːt ðə fuːd fɔː lʌntʃ/,ai jit de fud for lanch.,Caliento la comida para el almuerzo.,49 imagine / make
I help my mom at home.,/aɪ hɛlp maɪ mɒm æt həʊm/,ai jelp mai mom at jom.,Ayudo a mi mamá en casa.,49 imagine / make
The dog hides the bone.,/ðə dɒg haɪdz ðə bəʊn/,de dog jais de bon.,El perro esconde el hueso.,49 imagine / make
We hire a boat for the day.,/wiː ˈhaɪər ə bəʊt fɔː ðə deɪ/,gui jair a bot for de dei.,Alquilamos un barco por el día.,49 imagine / make
She hires a new teacher.,/ʃiː ˈhaɪərz ə njuː ˈtiːtʃər/,shi jairs a niu ticher.,Ella contrata a un nuevo profesor.,49 imagine / make
I hope you are happy.,/aɪ həʊp juː ɑːr ˈhæpi/,ai jop yu ar japi.,Espero que seas feliz.,49 imagine / make
They hunt in the forest.,/ðeɪ hʌnt ɪn ðə ˈfɒrɪst/,dei jant in de forist.,Ellos cazan en el bosque.,49 imagine / make
I hurry the children.,/aɪ ˈhʌri ðə ˈtʃɪldrən/,ai jari de children.,Apuro a los niños.,49 imagine / make
I hurry to the school.,/aɪ ˈhʌri tuː ðə skuːl/,ai jari tu de scul.,Voy rápido a la escuela.,49 imagine / make
I imagine a big house.,/aɪ ɪˈmædʒɪn ə bɪg haʊs/,ai imachin a big jaus.,Imagino una casa grande.,49 imagine / make
I don't imagine a big house.,/aɪ dəʊnt ɪˈmædʒɪn ə bɪg haʊs/,ai dount imachin a big jaus.,No imagino una casa grande.,49 imagine / make
Do you imagine a big house?,/duː juː ɪˈmædʒɪn ə bɪg haʊs/,du iu imachin a big jaus?,¿Imaginas una casa grande?,49 imagine / make
Why do you imagine a big house?,/waɪ duː juː ɪˈmædʒɪn ə bɪɡ haʊs/,uái du yu imádyin a big jáus?,¿Por qué imaginas una casa grande?,49 imagine / make
I imagined a big house.,/aɪ ɪˈmædʒɪnd ə bɪg haʊs/,ai imachind a big jaus.,Imaginé una casa grande.,49 imagine / make
The bird imitates the song.,/ðə bɜːrd ˈɪmɪteɪts ðə sɒŋ/,de berd imiteits de song.,El pájaro imita la canción.,49 imagine / make
I implore you for help.,/aɪ ɪmˈplɔːr juː fɔː hɛlp/,ai implor yu for jelp.,Te suplico ayuda.,49 imagine / make
They import cars here.,/ðeɪ ɪmˈpɔːrt kɑːrz hɪər/,dei import cars jir.,Ellos importan coches aquí.,49 imagine / make
They do not import cars here.,/ðeɪ duː nɒt ɪmˈpɔːrt kɑːrz hɪər/,dei du not import cars jir.,Ellos no importan coches aquí.,49 imagine / make
Do they import cars here?,/duː ðeɪ ɪmˈpɔːrt kɑːrz hɪər/,du dei import cars jir?,¿Ellos importan coches aquí?,49 imagine / make
Where do they import cars?,/wɛər duː ðeɪ ɪmˈpɔːrt kɑːrz/,güer du dei import cars?,¿Dónde importan ellos coches?,49 imagine / make
They imported cars here.,/ðeɪ ɪmˈpɔːrtɪd kɑːrz hɪər/,dei importid cars jir.,Ellos importaron coches aquí.,49 imagine / make
The price increases today.,/ðə praɪs ɪnˈkriːsɪz təˈdeɪ/,de prais incriisis tudei.,El precio aumenta hoy.,49 imagine / make
I increase the speed.,/aɪ ɪnˈkriːs ðə spiːd/,ai incriisis de espid.,Aumento la velocidad.,49 imagine / make
The germ can infect you.,/ðə dʒɜːrm kæn ɪnˈfɛkt juː/,de jerm can infect yu.,El germen puede infectarte.,49 imagine / make
She influences her friends.,/ʃiː ˈɪnfluənsɪz hɜːr frɛnds/,shi influencis jer frends.,Ella influye en sus amigos.,49 imagine / make
I inform him about the cat.,/aɪ ɪnˈfɔːrm hɪm əˈbaʊt ðə kæt/,ai inform him abaut de kat.,Le informo sobre el gato.,49 imagine / make
Please inform the police.,/pliːz ɪnˈfɔːrm ðə pəˈliːs/,pliz inform de polis.,Por favor informe a la policía.,49 imagine / make
She inherits the house.,/ʃiː ɪnˈhɛrɪts ðə haʊs/,shi inerits de jaus.,Ella hereda la casa.,49 imagine / make
I inquire about the time.,/aɪ ɪnˈkwaɪər əˈbaʊt ðə taɪm/,ai inkuair abaut de taim.,Pregunto por la hora.,49 imagine / make
I insist on good food.,/aɪ ɪnˈsɪst ɒn gʊd fuːd/,ai insist on gud fud.,Insisto en buena comida.,49 imagine / make
She inspires me to read.,/ʃiː ɪnˈspaɪərz miː tuː riːd/,shi inspairs mi tu rid.,Ella me inspira a leer.,49 imagine / make
I instruct the class.,/aɪ ɪnˈstrʌkt ðə klɑːs/,ai instruct de clas.,Instruyo a la clase.,49 imagine / make
Do not insult your friend.,/duː nɒt ɪnˈsʌlt jɔːr frɛnd/,du not insult yor frend.,No insultes a tu amigo.,49 imagine / make
This book interests me.,/ðɪs bʊk ˈɪntrəsts miː/,dis buk interest mi.,Este libro me interesa.,49 imagine / make
I do not intervene.,/aɪ duː nɒt ˌɪntəˈviːn/,ai du not intirvin.,No intervengo.,49 imagine / make
I introduce my friend.,/aɪ ˌɪntrəˈdjuːs maɪ frɛnd/,ai intrudius mai frend.,Presento a mi amigo.,49 imagine / make
He invents a machine.,/hiː ɪnˈvɛnts ə məˈʃiːn/,ji invents a mashin.,Él inventa una máquina.,49 imagine / make
She invites me to the party.,/ʃiː ɪnˈvaɪts miː tuː ðə ˈpɑːti/,shi invaits mi tu de parti.,Ella me invita a la fiesta.,49 imagine / make
I iron my shirt.,/aɪ ˈaɪən maɪ ʃɜːt/,ai aiorn mai shert.,Planchado mi camisa.,49 imagine / make
The noise irritates me.,/ðə nɔɪz ˈɪrɪteɪts miː/,de nois iriteits mi.,El ruido me irrita.,49 imagine / make
They isolate the sick cat.,/ðeɪ ˈaɪsəleɪt ðə sɪk kæt/,dei aisoleit de sik kat.,Aíslan al gato enfermo.,49 imagine / make
He joins the club.,/hiː dʒɔɪnz ðə klʌb/,ji goins de clab.,Él se une al club.,49 imagine / make
I joke with you.,/aɪ dʒəʊk wɪð juː/,ai yok wid yu.,Bromeo contigo.,49 imagine / make
I keep the letter.,/aɪ kiːp ðə ˈlɛtə/,ai kip de leter.,Me quedo con la carta.,49 imagine / make
We keep silent.,/wiː kiːp ˈsaɪlənt/,ui kip sailent.,Mantenemos silencio.,49 imagine / make
The lion kills the zebra.,/ðə ˈlaɪən kɪlz ðə ˈziːbrə/,de laion kilz de zebra.,El león mata a la cebra.,49 imagine / make
I knock at the door.,/aɪ nɒk æt ðə dɔː/,ai nak at de dor.,Llamo a la puerta.,49 imagine / make
I know him well.,/aɪ nəʊ hɪm wɛl/,ai no him uel.,Lo conozco bien.,49 imagine / make
I know the answer.,/aɪ nəʊ ðiː ˈɑːnsə/,ai no de answer.,Sé la respuesta.,49 imagine / make
They laugh at the joke.,/ðeɪ lɑːf æt ðə dʒəʊk/,dei laf at de yok.,Se ríen del chiste.,49 imagine / make
They launch a new ship.,/ðeɪ lɔːntʃ ə njuː ʃɪp/,dei lanch a niu ship.,Lanzan un nuevo barco.,49 imagine / make
We leave for Tokyo.,/wiː liːv fɔː təʊkiːəʊ/,ui liv for toquio.,Salimos para Tokio.,49 imagine / make
She leaves her husband.,/ʃiː liːvz hɜː ˈhʌzbənd/,shi livs jer hasband.,Ella deja a su esposo.,49 imagine / make
I leave behind my bag.,/aɪ liːv bɪˈhaɪnd maɪ bæg/,ai liv bijain mai bag.,Olvido mi bolso.,49 imagine / make
They liberate the city.,/ðeɪ ˈlɪbəreɪt ðə ˈsɪti/,dei libereit de siti.,Liberan la ciudad.,49 imagine / make
He lies to me.,/hiː laɪz tuː miː/,ji lais tu mi.,Él me miente.,49 imagine / make
I light the fire.,/aɪ laɪt ðə ˈfaɪə/,ai lait de faier.,Enciendo el fuego.,49 imagine / make
The lamp lights up the room.,/ðə læmp laɪts ʌp ðə ruːm/,de lamp laits ap de rum.,La lámpara ilumina la habitación.,49 imagine / make
I love dancing.,/aɪ lʌv ˈdɑːnsɪŋ/,ai lav dansing.,Me encanta bailar.,49 imagine / make
I like tea.,/aɪ laɪk tiː/,ai laik ti.,Me gusta el té.,49 imagine / make
I don't like tea.,/aɪ dəʊnt laɪk tiː/,ai dount laik ti.,No me gusta el té.,49 imagine / make
Do you like tea?,/duː juː laɪk tiː/,du iu laik ti?,¿Te gusta el té?,49 imagine / make
Why do you like tea?,/waɪ duː juː laɪk tiː/,uai du iu laik ti?,¿Por qué te gusta el té?,49 imagine / make
I liked tea.,/aɪ laɪkt tiː/,ai laikt ti.,Me gustó el té.,49 imagine / make
I limit the sugar.,/aɪ ˈlɪmɪt ðə ˈʃʊɡər/,ai limit de shugar.,Limito el azúcar.,49 imagine / make
I listen to music.,/aɪ ˈlɪsən tuː ˈmjuːzɪk/,ai lisn tu miusic.,Escucho música.,49 imagine / make
I live in a house.,/aɪ lɪv ɪn ə haʊs/,ai liv in a jaus.,Vivo en una casa.,49 imagine / make
Animals live here.,/ˈænɪməlz lɪv hɪər/,animals liv jier.,Los animales viven aquí.,49 imagine / make
He loads the gun.,/hiː ləʊdz ðə ɡʌn/,ji lods de gan.,Él carga el arma.,49 imagine / make
They load the truck.,/ðeɪ ləʊd ðə trʌk/,dei lod de trak.,Ellos cargan el camión.,49 imagine / make
I look at the dog.,/aɪ lʊk æt ðə dɒɡ/,ai luk at de dog.,Miro al perro.,49 imagine / make
I do not look at the dog.,/aɪ duː nɒt lʊk æt ðə dɒɡ/,ai du not luk at de dog.,No miro al perro.,49 imagine / make
Do you look at the dog?,/duː juː lʊk æt ðə dɒɡ/,du yu luk at de dog?,¿Miras al perro?,49 imagine / make
Why do you look at the dog?,/waɪ duː juː lʊk æt ðə dɒɡ/,uai du yu luk at de dog?,¿Por qué miras al perro?,49 imagine / make
I looked at the dog.,/aɪ lʊkt æt ðə dɒɡ/,ai lukt at de dog.,Miré al perro.,49 imagine / make
I look for my bag.,/aɪ lʊk fɔː maɪ bæɡ/,ai luk for mai bag.,Busco mi bolso.,49 imagine / make
You look like your mom.,/juː lʊk laɪk jɔːr mɒm/,yu luk laik yor mom.,Te pareces a tu mamá.,49 imagine / make
You do not look like your mom.,/juː duː nɒt lʊk laɪk jɔːr mɒm/,yu du not luk laik yor mom.,No te pareces a tu mamá.,49 imagine / make
Do you look like your mom?,/duː juː lʊk laɪk jɔːr mɒm/,du yu luk laik yor mom?,¿Te pareces a tu mamá?,49 imagine / make
Who looks like your mom?,/huː lʊks laɪk jɔːr mɒm/,ju luks laik yor mom?,¿Quién se parece a tu mamá?,49 imagine / make
You looked like your mom.,/juː lʊkt laɪk jɔːr mɒm/,yu lukt laik yor mom.,Te parecías a tu mamá.,49 imagine / make
I lose my keys.,/aɪ luːz maɪ kiːz/,ai luz mi kis.,Pierdo mis llaves.,49 imagine / make
I love you.,/aɪ lʌv juː/,ai lav yu.,Te amo.,49 imagine / make
Please lower your head.,/pliːz ˈləʊər jɔːr hɛd/,pliz lover yor jed.,Por favor baja la cabeza.,49 imagine / make
I make dinner.,/aɪ meɪk ˈdɪnər/,ai meik dinner.,Hago la cena.,49 imagine / make
I make a mistake.,/aɪ meɪk ə mɪˈsteɪk/,ai meik a mis-teik.,Cometo un error.,49 imagine / make
Do not make me angry.,/duː nɒt meɪk miː ˈæŋɡri/,du not meik mi angri.,No me hagas enojar.,49 imagine / make
I make copies.,/aɪ meɪk ˈkɒpiz/,ai meik copis.,Hago copias.,49 imagine / make
I make it easier.,/aɪ meɪk ɪt ˈiːziər/,ai meik it isier.,Lo hago más fácil.,49 imagine / make
I make his acquaintance.,/aɪ meɪk hɪz əˈkweɪntəns/,ai meik jis akweintans.,Hago su conocimiento.,49 imagine / make
I make use of it.,/aɪ meɪk juːs ɒv ɪt/,ai meik yus ov it.,Hago uso de ello.,49 imagine / make
I do not make use of it.,/aɪ duː nɒt meɪk juːs ɒv ɪt/,ai du not meik yus ov it.,No hago uso de ello.,49 imagine / make
Do you make use of it?,/duː juː meɪk juːs ɒv ɪt/,du yu meik yus ov it?,¿Haces uso de ello?,49 imagine / make
When do you make use of it?,/wen duː juː meɪk juːs ɒv ɪt/,uen du yu meik yus ov it?,¿Cuándo haces uso de ello?,49 imagine / make
I made use of it.,/aɪ meɪd juːs ɒv ɪt/,ai meid yus ov it.,Hice uso de ello.,49 imagine / make
He manages the shop.,/hiː ˈmænɪdʒɪz ðə ʃɒp/,ji manichis de shop.,Él gestiona la tienda.,49 imagine / make
I mark the paper.,/aɪ mɑːrk ðə ˈpeɪpər/,ai mark de peiper.,Marco el papel.,49 imagine / make
I mean yes.,/aɪ miːn jɛs/,ai min yes.,Quiero decir sí.,49 imagine / make
I memorize words.,/aɪ ˈmɛməraɪz wɜːrdz/,ai memoraiz werds.,Memorizo palabras.,49 imagine / make
I mention the food.,/aɪ ˈmɛnʃən ðə fuːd/,ai menshon de fud.,Menciono la comida.,49 imagine / make
I miss the bus.,/aɪ mɪs ðə bʌs/,ai mis de bas.,Pierdo el autobús.,49 imagine / make
I mix the water.,/aɪ mɪks ðə ˈwɔːtə/,ai mix de uater.,Mezclo el agua.,49 imagine / make
Do not mock the dog.,/duː nɒt mɒk ðə dɒg/,du not mok de dog.,No te burles del perro.,49 imagine / make
I move the box.,/aɪ muːv ðə bɒks/,ai muv de boks.,Muevo la caja.,49 imagine / make
I multiply the numbers.,/aɪ ˈmʌltɪplaɪ ðə ˈnʌmbəz/,ai moltiplai de nambers.,Multiplico los números.,49 imagine / make
We name the cat.,/wiː neɪm ðə kæt/,ui neim de kat.,Ponemos nombre al gato.,49 imagine / make
They negotiate the price.,/ðeɪ nɪˈɡəʊʃieɪt ðə praɪs/,dei goshieit de prais.,Negocian el precio.,49 imagine / make
I note the time.,/aɪ nəʊt ðə taɪm/,ai not de taim.,Anoto la hora.,49 imagine / make
I notice the bird.,/aɪ ˈnəʊtɪs ðə bɜːd/,ai notis de berd.,Noté el pájaro.,50 smash / surface
You obey the law.,/juː əˈbeɪ ðə lɔː/,yu obei de law.,Obedeces la ley.,50 smash / surface
I object to the plan.,/aɪ əbˈdʒɛkt tuː ðə plæn/,ai obyect tu de plan.,Me opongo al plan.,50 smash / surface
We observe the sky.,/wiː əbˈzɜːv ðə skaɪ/,ui obserf de skai.,Observamos el cielo.,50 smash / surface
I do not offend you.,/aɪ duː nɒt əˈfɛnd juː/,ai do not ofend yu.,No te ofendo.,50 smash / surface
Do not omit the word.,/duː nɒt əʊˈmɪt ðə wɜːd/,do not omit de werld.,No omitas la palabra.,50 smash / surface
I open the door.,/aɪ ˈəʊpən ðə dɔː/,ai open de dor.,Abro la puerta.,50 smash / surface
I order the tea.,/aɪ ˈɔːdə ðə tiː/,ai order de ti.,Pido el té.,50 smash / surface
He orders the troops.,/hiː ˈɔːdəz ðə truːps/,ji order de trups.,Él ordena a las tropas.,50 smash / surface
We organize the party.,/wiː ˈɔːɡənaɪz ðə ˈpɑːti/,ui organaiz de parti.,Organizamos la fiesta.,50 smash / surface
